"PROTEIN_CLASS_ID","PROTEIN_CLASS_DESC","L1","L2","L3","L4","L5","L6","L7","L8"
479,"membrane receptor  7tm1  peptide  short peptide  opioid receptor","Membrane receptor","7TM1","Peptide","Short Peptide","Opioid receptor","","",""
480,"membrane receptor  7tm1  peptide  short peptide  orexin receptor","Membrane receptor","7TM1","Peptide","Short Peptide","Orexin receptor","","",""
483,"membrane receptor  7tm1  peptide  short peptide  galanin receptor","Membrane receptor","7TM1","Peptide","Short Peptide","Galanin receptor","","",""
484,"membrane receptor  7tm1  peptide  short peptide  motilin receptor","Membrane receptor","7TM1","Peptide","Short Peptide","Motilin receptor","","",""
486,"membrane receptor  7tm1  peptide  short peptide  rf amide receptor","Membrane receptor","7TM1","Peptide","Short Peptide","RF amide receptor","","",""
487,"membrane receptor  7tm1  smallmol  lipid-like ligand receptor  paf","Membrane receptor","7TM1","SmallMol","Lipid-like ligand receptor","PAF","","",""
488,"membrane receptor  7tm1  smallmol  monoamine-derivative  melatonin","Membrane receptor","7TM1","SmallMol","Monoamine-derivative","Melatonin","","",""
1253,"membrane receptor  7tm1  peptide  short peptide","Membrane receptor","7TM1","Peptide","Short Peptide","","","",""
1265,"membrane receptor  7tm1  peptide  chemokine receptor","Membrane receptor","7TM1","Peptide","Chemokine receptor","","","",""
1266,"membrane receptor  7tm1  smallmol  monoamine receptor","Membrane receptor","7TM1","SmallMol","Monoamine receptor","","","",""
1267,"membrane receptor  7tm1  smallmol  monoamine-derivative","Membrane receptor","7TM1","SmallMol","Monoamine-derivative","","","",""
1268,"membrane receptor  7tm1  peptide  glycohormone receptor","Membrane receptor","7TM1","Peptide","Glycohormone receptor","","","",""
1269,"membrane receptor  7tm1  peptide  anaphylatoxin receptor","Membrane receptor","7TM1","Peptide","Anaphylatoxin receptor","","","",""
1270,"membrane receptor  7tm1  peptide  chemokine receptor-like","Membrane receptor","7TM1","Peptide","Chemokine receptor-like","","","",""
1272,"membrane receptor  7tm1  smallmol  nucleotide-like receptor","Membrane receptor","7TM1","SmallMol","Nucleotide-like receptor","","","",""
1273,"membrane receptor  7tm1  smallmol  lipid-like ligand receptor","Membrane receptor","7TM1","SmallMol","Lipid-like ligand receptor","","","",""
1274,"membrane receptor  7tm1  peptide  protease-activated receptor","Membrane receptor","7TM1","Peptide","Protease-activated receptor","","","",""
603,"membrane receptor  7tm1  smallmol  carboxylic acid  hydroxycarboxylic acid receptor","Membrane receptor","7TM1","SmallMol","Carboxylic acid","Hydroxycarboxylic acid receptor","","",""
604,"membrane receptor  7tm1  smallmol  carboxylic acid  kynurenic acid receptor","Membrane receptor","7TM1","SmallMol","Carboxylic acid","Kynurenic acid receptor","","",""
605,"membrane receptor  7tm1  smallmol  carboxylic acid  succinate receptor","Membrane receptor","7TM1","SmallMol","Carboxylic acid","Succinate receptor","","",""
606,"membrane receptor  7tm1  smallmol  lipid-like ligand receptor  lysophosphatidylinositol receptor","Membrane receptor","7TM1","SmallMol","Lipid-like ligand receptor","Lysophosphatidylinositol receptor","","",""
607,"membrane receptor  7tm1  peptide  short peptide  neuromedin u receptor","Membrane receptor","7TM1","Peptide","Short Peptide","Neuromedin U receptor","","",""
608,"membrane receptor  7tm1  peptide  short peptide  prolactin-releasing peptide receptor","Membrane receptor","7TM1","Peptide","Short Peptide","Prolactin-releasing peptide receptor","","",""
609,"membrane receptor  7tm1  peptide  peptide growth factor  prokineticin receptor","Membrane receptor","7TM1","Peptide","Peptide growth factor","Prokineticin receptor","","",""
610,"membrane receptor  7tm1  peptide  relaxin-like peptide  relaxin","Membrane receptor","7TM1","Peptide","Relaxin-like peptide","Relaxin","","",""
611,"membrane receptor  7tm1  opsin  rhodopsin","Membrane receptor","7TM1","Opsin","Rhodopsin","","","",""
615,"membrane receptor  7tm1  smallmol  carboxylic acid  oxoglutarate receptor","Membrane receptor","7TM1","SmallMol","Carboxylic acid","Oxoglutarate receptor","","",""
616,"membrane receptor  7tm1  smallmol  carboxylic acid","Membrane receptor","7TM1","SmallMol","Carboxylic acid","","","",""
617,"membrane receptor  7tm1  peptide  peptide growth factor","Membrane receptor","7TM1","Peptide","Peptide growth factor","","","",""
618,"membrane receptor  7tm1  peptide  relaxin-like peptide","Membrane receptor","7TM1","Peptide","Relaxin-like peptide","","","",""
621,"membrane receptor  7tm1  opsin","Membrane receptor","7TM1","Opsin","","","","",""
544,"membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor","Membrane receptor","7TM1","SmallMol","Monoamine receptor","Adrenergic receptor","","",""
547,"membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor","Membrane receptor","7TM1","Peptide","Chemokine receptor","CC chemokine receptor","","",""
548,"membrane receptor  7tm1  peptide  chemokine receptor  xc chemokine receptor","Membrane receptor","7TM1","Peptide","Chemokine receptor","XC chemokine receptor","","",""
549,"membrane receptor  7tm1  smallmol  lipid-like ligand receptor  edg receptor","Membrane receptor","7TM1","SmallMol","Lipid-like ligand receptor","EDG receptor","","",""
550,"membrane receptor  7tm1  smallmol  monoamine receptor  trace amine receptor","Membrane receptor","7TM1","SmallMol","Monoamine receptor","Trace amine receptor","","",""
551,"membrane receptor  7tm1  smallmol  monoamine-derivative  melatonin receptor","Membrane receptor","7TM1","SmallMol","Monoamine-derivative","Melatonin receptor","","",""
552,"membrane receptor  7tm1  smallmol  nucleotide-like receptor  nicotinic acid","Membrane receptor","7TM1","SmallMol","Nucleotide-like receptor","Nicotinic acid","","",""
554,"membrane receptor  7tm1  peptide  chemokine receptor  cxc chemokine receptor","Membrane receptor","7TM1","Peptide","Chemokine receptor","CXC chemokine receptor","","",""
555,"membrane receptor  7tm1  peptide  chemokine receptor-like  chemerin receptor","Membrane receptor","7TM1","Peptide","Chemokine receptor-like","Chemerin receptor","","",""
556,"membrane receptor  7tm1  smallmol  nucleotide-like receptor  purine receptor","Membrane receptor","7TM1","SmallMol","Nucleotide-like receptor","Purine receptor","","",""
558,"membrane receptor  7tm1  peptide  chemokine receptor  cx3c chemokine receptor","Membrane receptor","7TM1","Peptide","Chemokine receptor","CX3C chemokine receptor","","",""
559,"membrane receptor  7tm1  smallmol  monoamine receptor  acetylcholine receptor","Membrane receptor","7TM1","SmallMol","Monoamine receptor","Acetylcholine receptor","","",""
561,"membrane receptor  7tm1  peptide  glycohormone receptor  glycohormone receptor","Membrane receptor","7TM1","Peptide","Glycohormone receptor","Glycohormone receptor","","",""
562,"membrane receptor  7tm1  peptide  short peptide  vasopressin and oxytocin receptor","Membrane receptor","7TM1","Peptide","Short Peptide","Vasopressin and oxytocin receptor","","",""
563,"membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor","Membrane receptor","7TM1","SmallMol","Nucleotide-like receptor","Adenosine receptor","","",""
