"TID","COMPONENT_ID","TARGCOMP_ID","HOMOLOGUE"
103535,4806,410,0
103537,4808,411,0
103553,4819,412,0
103556,5347,413,0
103557,5348,414,0
103561,5352,415,0
103576,5403,416,0
103593,5161,417,0
103597,5292,418,0
103603,5111,419,0
103605,5299,420,0
103629,4834,421,0
103665,5147,422,0
103667,4890,423,0
103677,4921,424,0
103679,4923,425,0
103681,5149,426,0
103692,4963,427,0
103698,4968,428,0
103712,5040,429,0
103714,5005,430,0
103722,5013,431,0
103729,5075,432,0
103730,5076,433,0
103735,5134,434,0
103736,5154,435,0
103752,5193,436,0
103773,5235,439,0
103780,5065,441,0
103784,4800,442,0
103787,5077,443,0
103792,5534,444,0
103826,5269,445,0
103841,5276,446,0
103848,5099,447,0
103865,5454,448,0
103870,5458,449,0
103875,5463,450,0
103886,5086,451,0
103893,5092,452,0
103898,5513,453,0
103905,4940,454,0
103916,4950,455,0
103918,4952,456,0
103924,5202,457,0
103925,5236,458,0
103926,5237,459,0
103931,5238,460,0
103947,4879,461,0
103960,5525,462,0
103972,5220,463,0
103975,5329,464,0
104001,5429,466,0
104016,5484,469,0
104020,5164,470,0
104063,5517,473,0
104065,5519,474,0
104067,5521,475,0
104072,5311,476,0
104074,5313,477,0
104080,5318,478,0
104082,5320,479,0
104088,4909,480,0
104096,5029,481,0
104105,4913,482,0
104111,5325,483,0
104121,5377,484,0
104128,5416,485,0
104137,5425,486,0
104167,5049,487,0
104173,5055,488,0
104178,4983,489,0
104186,5664,490,0
104194,5673,491,0
104196,5675,492,0
104206,5709,493,0
104211,5728,494,0
104254,5575,495,0
104268,5763,496,0
104274,5769,497,0
104307,5578,498,0
104308,5579,499,0
104311,5582,500,0
104314,5558,501,0
104332,5685,502,0
104336,5689,503,0
104356,5585,504,0
104371,5615,505,0
104376,5620,507,0
104387,5710,508,0
104388,5711,509,0
104410,5745,510,0
104414,5749,511,0
104420,5697,512,0
104425,5702,513,0
104433,5760,514,0
104452,5654,515,0
104453,5655,516,0
104461,5663,517,0
104472,5621,518,0
102389,4542,519,0
102394,4541,520,0
102398,4587,521,0
102400,4589,522,0
102412,3943,523,0
102432,4655,524,0
102441,4703,525,0
102450,4712,526,0
102459,4761,527,0
102460,4762,528,0
102466,4766,529,0
102467,4767,530,0
102542,4053,531,0
102556,4109,532,0
102580,4160,533,0
102588,4166,534,0
102605,4226,535,0
102631,4490,536,0
102634,4493,537,0
102635,4494,538,0
102679,4283,539,0
102684,4287,540,0
102687,4288,541,0
102699,4340,542,0
102714,4389,543,0
102799,4770,545,0
102810,4615,546,0
102819,4622,547,0
102820,4623,548,0
102824,4626,549,0
102828,4628,550,0
102829,4672,551,0
102836,4678,552,0
102842,4684,553,0
102865,3909,554,0
102869,4595,555,0
102871,4597,556,0
102885,4398,557,0
102894,4608,558,0
102898,4777,559,0
102904,4406,560,0
102914,4416,561,0
102915,4456,562,0
102925,4463,563,0
102940,4512,564,0
102949,4519,565,0
102960,4560,566,0
102962,4661,567,0
102964,4563,568,0
102971,4036,569,0
102972,4037,570,0
102995,4052,571,0
103036,4000,572,0
103042,4054,573,0
103056,4067,574,0
103081,4177,575,0
103089,4181,576,0
103104,4247,577,0
103106,4249,578,0
103109,4290,579,0
103118,4295,580,0
103134,4349,581,0
103148,3951,582,0
103149,3952,583,0
103160,3911,584,0
103161,3912,585,0
103167,1656,586,0
103432,5491,587,0
103442,4778,588,0
103445,4781,589,0
103448,4784,590,0
103450,4786,591,0
103475,5357,592,0
103477,5173,593,0
12,93,595,0
38,291,596,0
46,140,597,0
55,168,598,0
81,142,599,0
84,118,600,0
88,397,601,0
91,356,602,0
98,128,603,0
104,377,604,0
110,165,605,0
