"TID","TARGET_TYPE","PREF_NAME","TAX_ID","ORGANISM","CHEMBL_ID","SPECIES_GROUP_FLAG"
11283,"SINGLE PROTEIN","Glutathione S-transferase Mu 3",9606,"Homo sapiens","CHEMBL2242",
11291,"SINGLE PROTEIN","Anandamide amidohydrolase",9606,"Homo sapiens","CHEMBL2243",
11292,"SINGLE PROTEIN","Estrogen sulfotransferase",9913,"Bos taurus","CHEMBL2244",
11297,"SINGLE PROTEIN","Histamine H2 receptor",10090,"Mus musculus","CHEMBL2245",
11308,"SINGLE PROTEIN","Aldehyde reductase",9606,"Homo sapiens","CHEMBL2246",
11313,"SINGLE PROTEIN","Atrial natriuretic peptide receptor C",9606,"Homo sapiens","CHEMBL2247",
11318,"SINGLE PROTEIN","IgE Fc receptor, alpha-subunit",9606,"Homo sapiens","CHEMBL2248",
10978,"SINGLE PROTEIN","Lysyl oxidase",9606,"Homo sapiens","CHEMBL2249",
11691,"SINGLE PROTEIN","Tyrosine-protein kinase BLK",9606,"Homo sapiens","CHEMBL2250",
12396,"SINGLE PROTEIN","Dipeptidyl peptidase I",9606,"Homo sapiens","CHEMBL2252",
12407,"SINGLE PROTEIN","Corticotropin releasing factor receptor 2",10090,"Mus musculus","CHEMBL2253",
12420,"SINGLE PROTEIN","Peroxisomal sarcosine oxidase",9606,"Homo sapiens","CHEMBL2254",
12452,"SINGLE PROTEIN","Mannosidase 2 alpha 1",10116,"Rattus norvegicus","CHEMBL2257",
12470,"SINGLE PROTEIN","Tyrosine-protein kinase Lyn ",10090,"Mus musculus","CHEMBL2258",
11572,"SINGLE PROTEIN","Vitamin D-binding protein",9606,"Homo sapiens","CHEMBL2259",
11591,"SINGLE PROTEIN","Glyoxalase II",9606,"Homo sapiens","CHEMBL2261",
11592,"SINGLE PROTEIN","Glyoxalase II",10116,"Rattus norvegicus","CHEMBL2262",
11603,"SINGLE PROTEIN","Fructose-1,6-bisphosphatase",9823,"Sus scrofa","CHEMBL2263",
11619,"SINGLE PROTEIN","Puromycin-sensitive aminopeptidase",9606,"Homo sapiens","CHEMBL2264",
11627,"SINGLE PROTEIN","Acyl coenzyme A:cholesterol acyltransferase",9606,"Homo sapiens","CHEMBL2265",
11633,"SINGLE PROTEIN","Gamma-amino-N-butyrate transaminase",9823,"Sus scrofa","CHEMBL2266",
11947,"SINGLE PROTEIN","Retinoic acid receptor alpha",10116,"Rattus norvegicus","CHEMBL2269",
11979,"SINGLE PROTEIN","Alpha-L-fucosidase 2",9606,"Homo sapiens","CHEMBL2271",
12014,"SINGLE PROTEIN","Caspase-9",9606,"Homo sapiens","CHEMBL2273",
12023,"SINGLE PROTEIN","Sphingosine 1-phosphate receptor Edg-8",9606,"Homo sapiens","CHEMBL2274",
11447,"SINGLE PROTEIN","Sorbitol dehydrogenase",9606,"Homo sapiens","CHEMBL2275",
12261,"SINGLE PROTEIN","c-Jun N-terminal kinase 1",9606,"Homo sapiens","CHEMBL2276",
13070,"SINGLE PROTEIN","AICAR transformylase",10090,"Mus musculus","CHEMBL2277",
13071,"SINGLE PROTEIN","Beta-glucocerebrosidase",10090,"Mus musculus","CHEMBL2278",
13079,"SINGLE PROTEIN","Melanocortin receptor 2",10090,"Mus musculus","CHEMBL2279",
12731,"SINGLE PROTEIN","Lysosomal phospholipase A1",10116,"Rattus norvegicus","CHEMBL2280",
12755,"SINGLE PROTEIN","Dopamine D5 receptor",10116,"Rattus norvegicus","CHEMBL2281",
12845,"SINGLE PROTEIN","Glucose-6-phosphatase",9606,"Homo sapiens","CHEMBL2282",
12877,"SINGLE PROTEIN","Carbonic anhydrase II",9913,"Bos taurus","CHEMBL2283",
12946,"SINGLE PROTEIN","Cyclin-dependent kinase 4",9606,"Homo sapiens","CHEMBL331",
11757,"SINGLE PROTEIN","Glyceraldehyde-3-phosphate dehydrogenase liver",9606,"Homo sapiens","CHEMBL2284",
12862,"SINGLE PROTEIN","ADAMTS5",9606,"Homo sapiens","CHEMBL2285",
12863,"SINGLE PROTEIN","Endothelin receptor ET-A",10090,"Mus musculus","CHEMBL2286",
12883,"SINGLE PROTEIN","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1",9606,"Homo sapiens","CHEMBL2288",
12887,"SINGLE PROTEIN","Beta-2 adrenergic receptor",9615,"Canis lupus familiaris","CHEMBL2289",
100817,"SINGLE PROTEIN","G protein-coupled receptor 44",10090,"Mus musculus","CHEMBL2291",
12090,"SINGLE PROTEIN","Dual-specificity tyrosine-phosphorylation regulated kinase 1A",9606,"Homo sapiens","CHEMBL2292",
12106,"SINGLE PROTEIN","NADP-dependent malic enzyme",10116,"Rattus norvegicus","CHEMBL2293",
12136,"SINGLE PROTEIN","Lysozyme C",10116,"Rattus norvegicus","CHEMBL2297",
12146,"SINGLE PROTEIN","Isoprenylcysteine carboxyl methyltransferase",10116,"Rattus norvegicus","CHEMBL2298",
12168,"SINGLE PROTEIN","Epoxide hydrolase 1",10116,"Rattus norvegicus","CHEMBL2299",
12178,"SINGLE PROTEIN","Glycerol kinase",9606,"Homo sapiens","CHEMBL2300",
12180,"SINGLE PROTEIN","FK506 binding protein 12",9031,"Gallus gallus","CHEMBL2301",
12201,"SINGLE PROTEIN","Asparagine synthetase",10116,"Rattus norvegicus","CHEMBL2303",
12224,"SINGLE PROTEIN","GABA receptor alpha-5 subunit",10090,"Mus musculus","CHEMBL2304",
12238,"SINGLE PROTEIN","Cathepsin L",10116,"Rattus norvegicus","CHEMBL2305",
12242,"SINGLE PROTEIN","Glyoxylase 1 ",10116,"Rattus norvegicus","CHEMBL2306",
12251,"SINGLE PROTEIN","Phosphatidylserine-specific phospholipase A1",10116,"Rattus norvegicus","CHEMBL2307",
12810,"SINGLE PROTEIN","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",9606,"Homo sapiens","CHEMBL2308",
12577,"SINGLE PROTEIN","Voltage-gated potassium channel subunit Kv1.1",9606,"Homo sapiens","CHEMBL2309",
11661,"SINGLE PROTEIN","Insulin-like growth factor binding protein 4",9606,"Homo sapiens","CHEMBL2310",
12363,"SINGLE PROTEIN","Angiotensin-converting enzyme-related carboxypeptidase",10116,"Rattus norvegicus","CHEMBL2311",
12591,"SINGLE PROTEIN","Matrix metalloproteinase 8",10116,"Rattus norvegicus","CHEMBL2312",
12609,"SINGLE PROTEIN","L-xylulose reductase",9606,"Homo sapiens","CHEMBL2314",
12619,"SINGLE PROTEIN","Granzyme B",9606,"Homo sapiens","CHEMBL2316",
12850,"SINGLE PROTEIN","NADH-ubiquinone oxidoreductase MLRQ subunit",9606,"Homo sapiens","CHEMBL2317",
12861,"SINGLE PROTEIN","ADAMTS4",9606,"Homo sapiens","CHEMBL2318",
13005,"SINGLE PROTEIN","Kallikrein 1",9606,"Homo sapiens","CHEMBL2319",
12131,"SINGLE PROTEIN","Renin",10116,"Rattus norvegicus","CHEMBL2322",
12162,"SINGLE PROTEIN","Cathepsin B ",9913,"Bos taurus","CHEMBL2323",
12241,"SINGLE PROTEIN","G protein-coupled receptor 80",10116,"Rattus norvegicus","CHEMBL2325",
11060,"SINGLE PROTEIN","Carbonic anhydrase VII",9606,"Homo sapiens","CHEMBL2326",
10184,"SINGLE PROTEIN","Neurokinin 2 receptor",9606,"Homo sapiens","CHEMBL2327",
12571,"SINGLE PROTEIN","Glycine receptor subunit alpha-2",10116,"Rattus norvegicus","CHEMBL2328",
10094,"SINGLE PROTEIN","Dihydrofolate reductase",5476,"Candida albicans","CHEMBL2329",
12229,"SINGLE PROTEIN","Phenylethanolamine N-methyltransferase",9913,"Bos taurus","CHEMBL2331",
12474,"SINGLE PROTEIN","Alpha-1b adrenergic receptor",10116,"Rattus norvegicus","CHEMBL315",
10131,"SINGLE PROTEIN","Caspase-3",9606,"Homo sapiens","CHEMBL2334",
10331,"SINGLE PROTEIN","Lysosomal Pro-X carboxypeptidase",9606,"Homo sapiens","CHEMBL2335",
12536,"SINGLE PROTEIN","MAP kinase p38 alpha",10090,"Mus musculus","CHEMBL2336",
11682,"SINGLE PROTEIN","Glycine transporter 1",9606,"Homo sapiens","CHEMBL2337",
12891,"SINGLE PROTEIN","Cytochrome P450 7A1",10116,"Rattus norvegicus","CHEMBL2339",
12898,"SINGLE PROTEIN","Endothelin-converting enzyme 1",9913,"Bos taurus","CHEMBL2340",
12710,"SINGLE PROTEIN","FK506 binding protein 14",9606,"Homo sapiens","CHEMBL2342",
12718,"SINGLE PROTEIN","Serine/threonine-protein kinase Sgk1",9606,"Homo sapiens","CHEMBL2343",
12720,"SINGLE PROTEIN","Vasopressin V2 receptor",9913,"Bos taurus","CHEMBL2344",
12724,"SINGLE PROTEIN","Ribosomal protein S6 kinase alpha 3",9606,"Homo sapiens","CHEMBL2345",
12729,"SINGLE PROTEIN","Estrogen sulfotransferase",9606,"Homo sapiens","CHEMBL2346",
12733,"SINGLE PROTEIN","Histone deacetylase 8",10090,"Mus musculus","CHEMBL2347",
12735,"SINGLE PROTEIN","Phosphorylase kinase gamma subunit 2",9606,"Homo sapiens","CHEMBL2349",
12743,"SINGLE PROTEIN","Alpha-2a adrenergic receptor",9823,"Sus scrofa","CHEMBL2350",
12750,"SINGLE PROTEIN","Lysosomal acid lipase/cholesteryl ester hydrolase ",10116,"Rattus norvegicus","CHEMBL2352",
12751,"SINGLE PROTEIN","Vitamin D receptor",9031,"Gallus gallus","CHEMBL2353",
12763,"SINGLE PROTEIN","Superoxide dismutase",9606,"Homo sapiens","CHEMBL2354",
12781,"SINGLE PROTEIN","Casein kinase II beta ",9606,"Homo sapiens","CHEMBL2358",
12782,"SINGLE PROTEIN","CaM kinase II alpha",10116,"Rattus norvegicus","CHEMBL2359",
10150,"SINGLE PROTEIN","Hypoxanthine-guanine phosphoribosyltransferase",9606,"Homo sapiens","CHEMBL2360",
10193,"SINGLE PROTEIN","Carbonic anhydrase I",9606,"Homo sapiens","CHEMBL261",
10245,"SINGLE PROTEIN","Thymidylate kinase",1773,"Mycobacterium tuberculosis","CHEMBL2361",
10358,"SINGLE PROTEIN","Dihydrofolate reductase",10116,"Rattus norvegicus","CHEMBL2363",
10399,"SINGLE PROTEIN","Hepatitis C virus NS4A protein",11103,"Hepatitis C virus","CHEMBL2364",
10419,"SINGLE PROTEIN","Ryanodine receptor 3",10090,"Mus musculus","CHEMBL2365",
10444,"SINGLE PROTEIN","Trypsin",9823,"Sus scrofa","CHEMBL2366",
10449,"SINGLE PROTEIN","Peptide deformylase",158878,"Staphylococcus aureus subsp. aureus Mu50","CHEMBL2367",
10453,"SINGLE PROTEIN","Dopamine D1 receptor",7957,"Carassius auratus","CHEMBL2368",
11840,"SINGLE PROTEIN","Small conductance calcium-activated potassium channel protein 1",9606,"Homo sapiens","CHEMBL2369",
11894,"SINGLE PROTEIN","Norepinephrine transporter",10090,"Mus musculus","CHEMBL2370",
12071,"SINGLE PROTEIN","Cyclin-dependent kinase 1",9606,"Homo sapiens","CHEMBL308",
11518,"SINGLE PROTEIN","Protein-tyrosine phosphatase 1B",10116,"Rattus norvegicus","CHEMBL2371",
12654,"SINGLE PROTEIN","Catechol O-methyltransferase",10116,"Rattus norvegicus","CHEMBL2372",
12679,"SINGLE PROTEIN","C5a anaphylatoxin chemotactic receptor",9606,"Homo sapiens","CHEMBL2373",
12711,"SINGLE PROTEIN","Gamma-secretase subunit PEN-2",9606,"Homo sapiens","CHEMBL2374",
11678,"SINGLE PROTEIN","Cyclin-dependent kinase 2",9606,"Homo sapiens","CHEMBL301",
11756,"SINGLE PROTEIN","GABA receptor rho-2 subunit",9606,"Homo sapiens","CHEMBL2375",
12049,"SINGLE PROTEIN","Adenylate kinase 2",10116,"Rattus norvegicus","CHEMBL2376",
11922,"SINGLE PROTEIN","Dual specificity phosphatase Cdc25C",9606,"Homo sapiens","CHEMBL2378",
11601,"SINGLE PROTEIN","Arachidonate 12-lipoxygenase",9823,"Sus scrofa","CHEMBL2381",
11694,"SINGLE PROTEIN","Calpain 2",9606,"Homo sapiens","CHEMBL2382",
12395,"SINGLE PROTEIN","Dihydroorotate dehydrogenase",10116,"Rattus norvegicus","CHEMBL2383",
12170,"SINGLE PROTEIN","Adenosine kinase",10116,"Rattus norvegicus","CHEMBL2384",
11685,"SINGLE PROTEIN","Chymotrypsin C",9606,"Homo sapiens","CHEMBL2386",
10314,"SINGLE PROTEIN","Ubiquinol-cytochrome C reductase complex 7.2 kDa protein",9606,"Homo sapiens","CHEMBL2388",
10324,"SINGLE PROTEIN","Adenosylhomocysteinase ",10090,"Mus musculus","CHEMBL2389",
10326,"SINGLE PROTEIN","Glutathione S-transferase Ya-1",10116,"Rattus norvegicus","CHEMBL2390",
10328,"SINGLE PROTEIN","11-beta-hydroxysteroid dehydrogenase 1",10116,"Rattus norvegicus","CHEMBL2391",
10206,"SINGLE PROTEIN","DNA polymerase beta",9606,"Homo sapiens","CHEMBL2392",
10341,"SINGLE PROTEIN","AMP-activated protein kinase, gamma-1 subunit",9606,"Homo sapiens","CHEMBL2393",
10348,"SINGLE PROTEIN","Purine-nucleoside phosphorylase",10116,"Rattus norvegicus","CHEMBL2395",
10607,"SINGLE PROTEIN","Acetyl-CoA carboxylase 1",10116,"Rattus norvegicus","CHEMBL2397",
19648,"SINGLE PROTEIN","Leukotriene A4 hydrolase",10116,"Rattus norvegicus","CHEMBL2400",
11620,"SINGLE PROTEIN","Thioredoxin reductase 2",9606,"Homo sapiens","CHEMBL2403",
12164,"SINGLE PROTEIN","Estrogen receptor beta",9913,"Bos taurus","CHEMBL2404",
11807,"SINGLE PROTEIN","Alpha-2b adrenergic receptor",10090,"Mus musculus","CHEMBL2405",
11162,"SINGLE PROTEIN","Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit",559292,"Saccharomyces cerevisiae S288c","CHEMBL2406",
11199,"SINGLE PROTEIN","Elastase 2A",9823,"Sus scrofa","CHEMBL2407",
11186,"SINGLE PROTEIN","Cytochrome P450 2C18",9606,"Homo sapiens","CHEMBL2408",
11727,"SINGLE PROTEIN","Epoxide hydratase",9606,"Homo sapiens","CHEMBL2409",
12020,"SINGLE PROTEIN","Serotonin 3a (5-HT3a) receptor",10116,"Rattus norvegicus","CHEMBL2411",
10520,"SINGLE PROTEIN","G2/mitotic-specific cyclin B1",9606,"Homo sapiens","CHEMBL2412",
10547,"SINGLE PROTEIN","C-C chemokine receptor type 1",9606,"Homo sapiens","CHEMBL2413",
10579,"SINGLE PROTEIN","C-C chemokine receptor type 4",9606,"Homo sapiens","CHEMBL2414",
10569,"SINGLE PROTEIN","Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit",9606,"Homo sapiens","CHEMBL271",
12954,"SINGLE PROTEIN","Carbonic anhydrase-related protein 2",9606,"Homo sapiens","CHEMBL2420",
10503,"SINGLE PROTEIN","Corticosteroid binding globulin",9606,"Homo sapiens","CHEMBL2421",
12709,"SINGLE PROTEIN","G1/S-specific cyclin D3",9606,"Homo sapiens","CHEMBL2422",
10253,"SINGLE PROTEIN","Glutathione S-transferase theta 1",10116,"Rattus norvegicus","CHEMBL2423",
10278,"SINGLE PROTEIN","Glyoxalase I",9606,"Homo sapiens","CHEMBL2424",
10457,"SINGLE PROTEIN","Dihydrofolate reductase",5811,"Toxoplasma gondii","CHEMBL2425",
10262,"SINGLE PROTEIN","Casein kinase I gamma 1",9606,"Homo sapiens","CHEMBL2426",
10250,"SINGLE PROTEIN","Myosin light chain kinase, smooth muscle",9606,"Homo sapiens","CHEMBL2428",
10254,"SINGLE PROTEIN","Spermidine synthase",10116,"Rattus norvegicus","CHEMBL2429",
10257,"SINGLE PROTEIN","FK506-binding protein 1B",9606,"Homo sapiens","CHEMBL2430",
10695,"SINGLE PROTEIN","Serine/threonine-protein kinase AKT2",9606,"Homo sapiens","CHEMBL2431",
10703,"SINGLE PROTEIN","Aminopeptidase B",9606,"Homo sapiens","CHEMBL2432",
10730,"SINGLE PROTEIN","Prohormone convertase 2",9606,"Homo sapiens","CHEMBL2433",
10773,"SINGLE PROTEIN","Interleukin-8 receptor B",9606,"Homo sapiens","CHEMBL2434",
10563,"SINGLE PROTEIN","Protein phosphatase 2C alpha",9606,"Homo sapiens","CHEMBL2437",
10566,"SINGLE PROTEIN","Eosinophil peroxidase",9606,"Homo sapiens","CHEMBL2438",
10567,"SINGLE PROTEIN","Myeloperoxidase",9606,"Homo sapiens","CHEMBL2439",
10568,"SINGLE PROTEIN","Myeloperoxidase",10090,"Mus musculus","CHEMBL2440",
10581,"SINGLE PROTEIN","LDL-associated phospholipase A2",9913,"Bos taurus","CHEMBL2441",
10068,"SINGLE PROTEIN","Kallikrein 2",9606,"Homo sapiens","CHEMBL2442",
10069,"SINGLE PROTEIN","Kallikrein 7",9606,"Homo sapiens","CHEMBL2443",
10078,"SINGLE PROTEIN","Corticotropin releasing factor receptor 1",10090,"Mus musculus","CHEMBL2446",
10087,"SINGLE PROTEIN","Deoxycytidine kinase",9606,"Homo sapiens","CHEMBL2447",
10088,"SINGLE PROTEIN","Deoxycytidylate deaminase",6239,"Caenorhabditis elegans","CHEMBL2448",
10212,"SINGLE PROTEIN","Coagulation factor III",9823,"Sus scrofa","CHEMBL2450",
10230,"SINGLE PROTEIN","Aminopeptidase B",10116,"Rattus norvegicus","CHEMBL2452",
10951,"SINGLE PROTEIN","P-selectin",10090,"Mus musculus","CHEMBL2455",
10956,"SINGLE PROTEIN","Luteinizing hormone/Choriogonadotropin receptor",10116,"Rattus norvegicus","CHEMBL2456",
10957,"SINGLE PROTEIN","Arachidonate 15-lipoxygenase, type II",9606,"Homo sapiens","CHEMBL2457",
10960,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor delta",10090,"Mus musculus","CHEMBL2458",
10961,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor gamma",10090,"Mus musculus","CHEMBL2459",
10962,"SINGLE PROTEIN","Prolyl endopeptidase",9913,"Bos taurus","CHEMBL2460",
10964,"SINGLE PROTEIN","Prolyl endopeptidase",9823,"Sus scrofa","CHEMBL2461",
10965,"SINGLE PROTEIN","Tyrosine 3-hydroxylase",10116,"Rattus norvegicus","CHEMBL2462",
10039,"SINGLE PROTEIN","Interleukin-2",10090,"Mus musculus","CHEMBL2466",
10041,"SINGLE PROTEIN","Thyrotropin-releasing hormone receptor",10090,"Mus musculus","CHEMBL2467",
10051,"SINGLE PROTEIN","Death-associated protein kinase 3",9606,"Homo sapiens","CHEMBL2468",
10055,"SINGLE PROTEIN","Uridine-cytidine kinase 2",9606,"Homo sapiens","CHEMBL2469",
10057,"SINGLE PROTEIN","Cannabinoid CB2 receptor",10116,"Rattus norvegicus","CHEMBL2470",
11191,"SINGLE PROTEIN","GABA receptor alpha-4 subunit",9606,"Homo sapiens","CHEMBL2472",
11744,"SINGLE PROTEIN","Presenilin 1",9606,"Homo sapiens","CHEMBL2473",
10320,"SINGLE PROTEIN","Methionine aminopeptidase 1",9606,"Homo sapiens","CHEMBL2474",
10381,"SINGLE PROTEIN","Cytochrome P450 2D1",10116,"Rattus norvegicus","CHEMBL2475",
10397,"SINGLE PROTEIN","Voltage-gated potassium channel subunit Kv7.2",9606,"Homo sapiens","CHEMBL2476",
10706,"SINGLE PROTEIN","Salivary alpha-amylase",9606,"Homo sapiens","CHEMBL2478",
10296,"SINGLE PROTEIN","N-acetyllactosaminide alpha-1,3-galactosyltransferase",10090,"Mus musculus","CHEMBL2479",
10297,"SINGLE PROTEIN","Tyrosine-protein kinase LCK",10090,"Mus musculus","CHEMBL2480",
10307,"SINGLE PROTEIN","Cytochrome P450 2D2",10116,"Rattus norvegicus","CHEMBL2483",
10639,"SINGLE PROTEIN","Acetylcholine receptor protein epsilon chain ",9606,"Homo sapiens","CHEMBL2484",
10656,"SINGLE PROTEIN","Beta amyloid A4 protein",9606,"Homo sapiens","CHEMBL2487",
10614,"SINGLE PROTEIN","Prostanoid EP2 receptor",10090,"Mus musculus","CHEMBL2488",
10616,"SINGLE PROTEIN","Prostanoid EP4 receptor",10090,"Mus musculus","CHEMBL2489",
10621,"SINGLE PROTEIN","Serotonin 2a (5-HT2a) receptor",9823,"Sus scrofa","CHEMBL2490",
10635,"SINGLE PROTEIN","Neuronal acetylcholine receptor protein alpha-7 subunit",9606,"Homo sapiens","CHEMBL2492",
10970,"SINGLE PROTEIN","CaM kinase I alpha",9606,"Homo sapiens","CHEMBL2493",
10971,"SINGLE PROTEIN","CaM kinase IV",9606,"Homo sapiens","CHEMBL2494",
10538,"SINGLE PROTEIN","P2X purinoceptor 5",10116,"Rattus norvegicus","CHEMBL2495",
10540,"SINGLE PROTEIN","P2X purinoceptor 7",10116,"Rattus norvegicus","CHEMBL2496",
10545,"SINGLE PROTEIN","Purinergic receptor P2Y1",10116,"Rattus norvegicus","CHEMBL2497",
10550,"SINGLE PROTEIN","PI3-kinase p110-alpha subunit",9913,"Bos taurus","CHEMBL2498",
